Kanji,Meaning,Radicals
大,Big,Big
人,Person,Person
七,Seven,Seven
十,Ten,Cross
工,Construction,Construction
九,Nine,Nine
八,Eight,Fins
二,Two,Two
上,Above,Toe + Ground
下,Below,Ground + Toe
入,Enter,Enter
口,Mouth,Mouth
力,Power,Power
川,River,River
一,One,Ground
三,Three,Two + Ground
山,Mountain,Mountain
女,Woman,Woman
又,Again,Stool
文,Writing,Writing
刀,Sword,Sword
中,Middle,Middle
土,Dirt,Dirt
日,Sun,Sun
田,Rice Paddy,Rice Paddy
五,Five,Five
立,Stand,Stand
玉,Ball,King + Drop
火,Fire,Fire
才,Genius,Cross + Slide
々,Repeater,Prison + Drop
了,Finish,Barb + Barb
千,Thousand,Thousand
月,Moon,Moon
石,Stone,Stone
丁,Street,Street
夕,Evening,Evening
目,Eye,Eye
白,White,White
木,Tree,Tree
円,Yen,Head + Lid
四,Four,Mouth + Legs
六,Six,Lid + Fins
出,Exit,Mountain
犬,Dog,Dog
子,Child,Child
手,Hand,Hand
左,Left,Narwhal + Construction
正,Correct,Ground + Stop
天,Heaven,Heaven
王,King,King
小,Small,Small
右,Right,Narwhal + Mouth
本,"Book, Real, Origin",Book
丸,Circle,Nine + Drop
水,Water,Water
万,Ten Thousand,Leaf + Sword
用,Task,Task
久,Long Time,Prison + Slide
元,Origin,Origin
兄,Older Brother,Mouth + Legs
午,Noon,Slide + Dry
太,Fat,Big + Drop
毛,Fur,Fur
方,Direction,Direction
外,Outside,Evening + Toe
公,Public,Fins + Private
引,Pull,Bow + Stick
生,Life,Life
戸,Door,Door
切,Cut,Seven + Sword
少,Few,Small + Slide
市,City,Lid + Towel
牛,Cow,Cow
分,Part,Fins + Sword
母,Mother,Sun + Drop + Drop
矢,Arrow,Arrow
止,Stop,Stop
北,North,Fingers + Spoon
冬,Winter,Winter + Two
友,Friend,Narwhal + Stool
広,Wide,Mullet + Private
今,Now,Now
内,Inside,Head + Person
半,Half,Triceratops + Dry
古,Old,Old
台,Machine,Private + Mouth
心,Heart,Heart
父,Father,Father
先,Previous,Slide + Dirt + Legs
代,"Substitute, Period, Age",Leader + Ceremony
皮,Skin,Slide + Branch
